Event,large,small
2016D02001,16,2
2016D02002,1,0
2016D02003,56,0
2016D02004,242,168
2016D02005,62,204
2016D02006,11,2
2016D02007,15,3
2016D02008,335,351
2016D02009,609,604
2016D02010,68,0
2016D02011,14,1
2016D02013,6,0
2016D02014,7,1
2016D02015,3,0
2016D02016,4,0
2016D02017,317,0
2016D02018,15,0
2016D02019,15,1
2016D02020,8,0
2016D02021,6,1
2016D02022,19,0
2016D02023,40,0
2016D02024,15,0
2016D02025,96,0
2016D02026,219,0
2016D02027,10,0
2016D02028,7,0
2016D02029,37,0
2016D02030,9,0
2016D02031,2,0
2016D02032,6,0
2016D02033,58,0
2016D02034,77,0
2016D02035,3,0
2016D02036,47,1
2016D02037,15,0
2016D02038,21,1
2016D02039,21,0
2016D02040,8,0
2016D02041,16,0
2016D02042,12,0
2016D02043,6,2
2016D02044,31,1
2016D02045,13,1
2016D02046,33,0
2016D02047,4,0
2016D06001,31,3
2016D06002,52,4
2016D06003,17,10
2016D06004,3,0
2016D06005,6,55
2016D06006,29,26
2016D06008,74,14
2016D06009,113,17
2016D06010,1,0
2016D06011,8,1
2016D06013,0,4
2016D06014,6,117
2016D06015,10,93
2016D06016,48,28
2016D06017,60,35
2016D06018,37,5
2016D06020,46,11
2016D06021,65,0
2016D06022,1,0
2016D06023,1,2
2016D06027,3,8
2016D06028,50,82
2016D06029,27,8
2016D06030,60,6
2016D06031,42,24
2016D06032,17,2
2016D06033,14,0
2016D06034,0,1
2016D06035,10,0
2016D06036,50,10
2016D06037,78,13
2016D06038,24,65
2016D06039,28,55
2016D06040,0,1
2016D06041,55,111
2016D06042,36,13
2016D06043,26,5
2016D06044,11,3
2016D06046,2,0
2016D06047,32,10
2016D06048,35,5
2016D06049,21,43
2016D06050,2,27
2016D06051,29,331
2016D06052,76,75
2016D06053,18,153
2016D06054,50,5
2016D06055,0,7
2016D06057,5,0
2016D06058,6,0
2016D06059,2,0
2016D06060,1,36
2016D06061,1,2
2016D06062,18,103
2016D06063,6,108
2016D06064,4,39
2016D06065,0,38
2016D06066,11,95
2016D06067,1,0
2016D06068,19,37
