District,Bed,year,variable,llW,ulW,Weight,lldbar,uldbar,dbar_lb,varW,cvW
EKI,EK1,2016.0,large,624270.9037674131,1511289.6363578641,1007207.9327517253,7005.62118468649,16959.82085465003,11302.973097875943,49114833485.418915,22.003268602126727
EKI,EK1,2016.0,small,423.2662489406266,14612.743986313872,5389.390747383438,4.749929850079975,163.98545602417093,60.4802014070636,17446027.53965569,77.50123166032562
EKI,EK1,2016.0,all,608346.3910402725,1497135.2167624228,998789.4556389033,6826.9149482692455,16800.978753926865,11208.50023161153,50772122191.09721,22.559979958201044
KSH,KSH1,2016.0,large,1300108.0832117836,2215112.417599185,1740936.3957716785,7158.002990760247,12195.740888615235,9585.07072494455,59406650777.374374,14.000212562860126
KSH,KSH1,2016.0,small,75018.97077888485,213734.68403438837,136284.46015946948,413.03182722504454,1176.7587074513483,750.3411339507211,1223082742.2259438,25.6614729493496
KSH,KSH1,2016.0,all,1434644.68718266,2366170.2048885305,1883396.491643864,7898.720955693772,13027.419506075708,10369.413046544425,58805473501.91446,12.87558939626553
KSH,KSH2,2016.0,large,10815.48693791132,74471.45128849744,39828.36432214104,511.3705407995896,3521.108807966782,1883.1377930090327,262195305.57148936,40.65556348392102
KSH,KSH2,2016.0,small,10945.571614646331,63172.793393721055,35898.359383359006,517.5211165317414,2986.893304667663,1697.3219566600005,188982222.6268965,38.29445342069534
KSH,KSH2,2016.0,all,25359.278263540262,137559.04780963447,75641.44986890026,1199.0202488671518,6503.973891708487,3576.427889782519,871311448.816466,39.023558150435164
KSH,KSH3,2016.0,large,2467.4253956789294,63564.1083781033,33657.28205820657,290.62725508585737,7486.938560436195,3964.3441764672048,454511938.97357535,63.342267430773155
KSH,KSH3,2016.0,small,0.0,8429.693279049246,4265.424799198919,0.0,992.896734870347,502.4057478443956,8604273.305309884,68.76933247764178
KSH,KSH3,2016.0,all,2467.4253956789294,71993.80165715255,36257.24425875511,290.62725508585737,8479.835295306542,4270.58236263311,603896072.8481222,67.77761933762058
WKI,WK1,2016.0,large,449984.9106295863,2416131.4493760536,1321239.4950967515,9247.532072124668,49653.338458200866,27152.476265860085,252460469266.8101,38.029020993648224
WKI,WK1,2016.0,small,16218.61092455636,177260.75529411156,87651.47575199475,333.304786776744,3642.843306496333,1801.3044749690662,1700344234.2438211,47.04453649465423
WKI,WK1,2016.0,all,499301.1735961242,2442051.775225523,1391607.5539402214,10261.018775095034,50186.02086365646,28598.593381426665,253035191752.94293,36.14711873628858
